title,description,status,update_log,Resource
Antalya merkezli 5 ilde yasa dışı bahis operasyonu: 89 gözaltı,Antalya merkezli 5 ilde gerçekleştirilen yasa dışı bahis operasyonunda 89 şüpheli gözaltına alındı.,1,X,TRT
"""İlk Evim Arsa"" projesinde kura çekimi başladı","Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum, ""1 milyon altyapısı hazır arsamız için kuralarımızı çekmeye başladık."" dedi.",1,X,TRT
Mithat Paşa ile bir gazeteci arasında II. Abdülhamit hakkında geçen diyalogdu,"İddiaya göre Mithat Paşa, II. Abdülhamit’in tahttan indirilmesinden sonra bir gazeteciye “biz sadece onu yıkmaya odaklandık, gerisini düşünmemiştik"" dedi.",0,√,TeyitOrg-False
Cumhurbaşkanı Erdoğan Katar'da,"Cumhurbaşkanı Recep Tayyip Erdoğan, özel uçak ""TC-CAN"" ile Katar Emiri Şeyh Temim bin Hamed Al Sani'nin davetine icabetle 2022 FIFA Dünya Kupası Kapanış Töreni'ne katılmak üzere Doha'ya geldi.",1,X,TRT
Fotoğrafın sprey D vitamini kutusunda satılan el dezenfektanını gösterdi,Sosyal medyada bir Twitter kullanıcısı tarafından New Life markalı sprey D vitaminleri ambalajlarının içinde el dezenfektanı satıldığı iddia edildi.,0,√,TeyitOrg-False
TBMM Başkanı Şentop'tan Azerbaycan'a taziye telefonu,"Türkiye Büyük Millet Meclisi Başkanı Mustafa Şentop, Azerbaycan Milli Meclis Başkanı Sahiba Gafarova'yı telefonla arayarak taziye ve geçmiş olsun dileklerini iletti.",1,X,TRT
"Görselin ABD’deki 7-Eleven’da yakıt fiyatının 7,11 dolar olduğunu gösterdi",2021’de paylaşılan görsel gerçek yakıt fiyatlarını göstermiyor. Değerler 7-Eleven mağazası açılmadan önce tabelayı çalıştırmak için girilmiş.,0,√,TeyitOrg-False
A Haber’in Avrupa ülkelerinin benzin fiyatlarını TL’ye çevirerek aktardı,Sosyal medyada paylaşılan A Haber'in 2018 yılında Avrupa'daki ülkelerin benzin fiyatlarını Türk Lirası cinsinden aktardığı doğru.,1,√,TeyitOrg-True
Alman bira firmasının piyasaya sürdüğü bira şişesinde 'La İlahe İllallah' yazdı,"teyit.org’a ihbar olarak gönderilen bir haberde, Eichbaum Ureich isimli biranın üzerine ""kelime i tevhid"" yazılarak piyasaya sürüldüğü iddia edildi.",1,√,TeyitOrg-True
Hindistan’da Müslüman bir kadının çocuğuyla birlikte diri diri toprağa gömüldü,"Sosyal medyada paylaşılan bir iletide, Hindistan’da Müslüman bir kadının çocuğuyla birlikte diri diri toprağa gömüldüğü iddia edildi.",0,√,TeyitOrg-False
Videonun 35 yıllık kupa koleksiyonunun yayıncı hatası nedeniyle parçalandığı,35 yıllık koleksiyonun yayıncı hatası sonucu parçalandığını gösterdiği iddia edilen video bir reklam filminden kesilmiş.,0,√,TeyitOrg-False
İsrail'de aşının delta varyantı kaynaklı ağır vakaları önleyemedi,Aşılar delta varyantına bağlı şiddetli vakaları önlemede halen etkili. İsrail Sağlık Bakanlığı aşının şiddetli vakaları yüzde 93 önlediğini açıkladı.,0,√,TeyitOrg-False
Uzayda 5 ay kalan astronota 1.4 milyon dolar telefon faturası geldi,"Bazı haber sitelerinde yayınlanan iddiaya göre, Uluslararası Uzay İstasyonu’nda çalışan astronot Chris Hadfield'a, 1.4 milyon dolar telefon faturası geldi.",0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, İlham Aliyev ile görüştü","Türkiye Cumhurbaşkanı Recep Tayyip Erdoğan, Azerbaycan Cumhurbaşkanı İlham Aliyev ile Türkmenistan'da bir araya geldi.",1,X,TRT
Depremde evin neresine sığınanlar kurtuldu? En çok ölüm evin neresinde oldu?,"Depremde, evinin neresinde yakalananlar ya da nereye sığınanlar hayatta kaldı?
Kahramanmaraş'ta 63 kişiyi kurtaran Bursa Gürsu Belediyesi arama kurtarma ekibi,
enkazda sağ çıkanlarla hayatını kaybedenleri en çok dairelerin hangi bölümlerinde bulduklarını anlattı.",1,X,TRT
Diyanet'in yapay eti caiz ilan eden bir fetva yayınladı ,Diyanet İşleri Başkanlığı Din İşleri Yüksek Kurulu’nun yapay etin caiz olduğunu söylediği bir fetvası yok. İddiayı ortaya atan kişi bir toplantıda konuşulan fikirleri aktarmış.,0,√,TeyitOrg-False
Fotoğrafın Oscar töreninde Smith’in Rock'a attığı tokata verilen tepkileri gösterdi,"Ünlü isimlerin şaşırdığı anlara ait fotoğraflar, 2017 yılındaki Oscar Ödül Töreni’nde çekilmiş.",0,√,TeyitOrg-False
Pfizer’in çocukların Covid-19 aşılarına kalp krizi ilacı ekledi,"Aşıya eklenen, kalp krizi tedavisinde kullanılan bir erken madde değil. Tıpta sıkça kullanılan organik bileşiğin aşıya eklenmesinin sebebi, raf ömrünü uzatmak.",0,√,TeyitOrg-False
Videonun 2019 yerel seçimlerinde yinelenen oy sayımları sırasında çekildi,Sosyal medyada paylaşılan ve teyit.org’a ihbar olarak gönderilen videonun 2019 yerel seçimlerinde yapılan oy sayımı sırasında çekildiği iddia edildi.,0,√,TeyitOrg-False
Fotoğrafın Togg aracının taksi olarak kullanıldığını gösterdi,Togg aracının taksi olarak kullanıldığını gösterdiği iddia edilerek paylaşılan fotoğraf üzerinde dijital oynama yapılarak 2019’da oluşturulmuş.,0,√,TeyitOrg-False
Fotoğrafın Hz. Muhammed'in mezarı oldu,"Instagram’da Hz. Muhammed'in kabrinden olduğu iddiasıyla paylaşılan fotoğraf, Bursa’daki Osman Gazi türbesinde çekilmiş.",0,√,TeyitOrg-False
İBB Başkan Adaylarının ortak canlı yayınında en çok hangi kelimeler kullanıldı?,Sosyal medyada ve çeşitli haber sitelerinde paylaşılan farklı görsellerde 16 Haziran 2019 tarihinde gerçekleşen İBB Başkan Adaylarının ortak canlı yayını sırasında adayların kullandıkları kelime sayılarına dair çeşitli istatistiklere yer verildi.,0,X,TeyitOrg-False
Bakan Akar: Azerbaycan ordusuna kimsenin yan bakmasına fırsat vermeyeceğiz,"Milli Savunma Bakanı Hulusi Akar, ""Türk'ün gücünü dünyaya gösteren Azerbaycan ordusuna bundan sonra herhangi bir şekilde kimsenin yan bakmasına imkan ve fırsat vermeyeceğiz"" dedi.",1,X,TRT
